Region,EmploymentStatus,PropertyType,Education,MaritalStatus,Age,Income,HousingCost,Savings,RecordDate
Wales,Employed,Flat,Master,Single,35,36289,22759.5398205431,4890.86931891555,2023-08-23
Wales,Unemployed,Semi-Detached,Bachelor,Married,58,54463,24151.1538367156,21977.0702543954,2022-02-17
London,Self-Employed,Detached,Master,Single,50,88284,27129.0535364665,11611.1186748634,2023-09-16
South East,Self-Employed,Flat,Bachelor,Single,45,54434,23223.8277396932,8984.96524983773,2022-12-29
Wales,Employed,House,Phd,Married,38,53818,18822.6372063964,8964.90561873625,2021-10-06
South East,Unemployed,Semi-Detached,Phd,Divorced,50,36726,11626.2961481826,14616.7861425185,2020-10-10
Scotland,Self-Employed,Flat,High School,Single,30,38969,22461.5392624511,13193.4854074377,2023-10-25
Wales,Employed,Detached,Master,Single,39,74985,17950.0607233373,36107.2549300673,2021-09-03
Wales,Unemployed,House,Bachelor,Married,31,88697,55463.648491168,41456.7469889662,2021-05-05
London,Employed,Flat,High School,Divorced,52,27071,19761.0063799187,10999.8615343078,2021-03-09
Scotland,Unemployed,House,Master,Married,63,66944,22759.5398205431,13881.4232818538,2023-12-20
Wales,Employed,House,High School,Single,42,27287,11294.1723144259,10030.4586545482,2022-04-13
South East,Employed,Flat,Phd,Married,48,71883,22759.5398205431,26549.6855012338,2021-01-24
Scotland,Self-Employed,House,Phd,Single,38,78637,22769.6603747367,13881.4232818538,2021-04-29
South East,Self-Employed,Semi-Detached,Phd,Single,46,25685,2936.29656211938,12691.5630609929,2023-02-12
Wales,Unemployed,Semi-Detached,Bachelor,Single,39,53818,31899.7725563162,13881.4232818538,2020-04-26
Scotland,Employed,House,High School,Divorced,25,48828,23440.4434169191,9691.68120072919,2021-02-22
Wales,Unemployed,Detached,Bachelor,Married,46,35154,16967.9093342772,13881.4232818538,2023-01-06
South East,Unemployed,Detached,Bachelor,Married,25,50018,16557.5520735895,13768.6463890799,2023-02-09
Midlands,Unemployed,Flat,Bachelor,Married,28,32029,13875.8523899296,6692.1163568925,2020-04-14
London,Unemployed,Semi-Detached,Master,Single,21,61719,31378.1975639419,10160.9711974592,2020-11-01
