Post_ID,Post_Date,Platform,Content_Type,Campaign_Name,Country,City,Latitude,Longitude,Audience_Age_Group,Sentiment,Followers,Impressions,Likes,Shares,Comments,Clicks,Engagement_Rate_Percent
POST-0982,2025-07-29,TIKTOK,VID,Community,USA,New York,40.7548,-74.2296,55+,Negative,564815,422664,14968,1857,1821,17023,4.41
POST-0212,2025-10-14, Facebook,Carousel ,community engagement,US,New York,40.7806,-73.8491,25-34,Neutral,445422,355953,23781,2065,2152,25216,7.87
POST-0478,15/10/2025,linkedin,Text Post,Seasonal Promo,france,Paris,48.5843,2.1924,18-24,Positive,239304,79447,8024,1742,1094,6136,13.67
POST-0513,2025-05-10, Insta,reel,community engagement,NIGERIA,Lagos,6.6124,3.438,55+,Negative,749101,,56798,7832,8622,7447,57.66
POST-0215,06-Feb-2025,TikTok,SHORT,customer education,United Kingdom,London,51.7064,-0.12,45-54,Neutral,812247,109632,28029,5010,2125,2260,32.07
POST-0177,2025-12-05,youtube,video,customer education,Australia,Sydney,-33.7815,150.9744,55+,Negative,413458,281983,14892,1740,2181,8249,6.67
POST-0219,2025-01-12,IG,short,Product Launch ,france,Paris,48.5788,2.292,45-54,Positive,589779,,51040,10896,4389,21558,15.04
POST-0964,04/09/2025,TIKTOK,live stream,Community,AUS,Sydney,-33.9391,151.4262,45-54,Negative,1090957,207901,77305,7318,9731,2828,45.38
POST-0561,23-Oct-2025,facebook,Image ,Seasonal Promo,United States,New York,40.9653,-74.0157,18-24,Neutral,287278,225527,5493,682,195,12049,2.82
POST-0367,05/10/2025,YouTube,Text Post,seasonal promotion,NIGERIA,Lagos,6.3829,3.3985,55+,Neutral,538114,347399,2000,234,293,13269,0.73
POST-0993,2025-08-31,Instagram ,Text Post,Customer Education,NIGERIA,Lagos,6.6121,3.0939,55+,Positive,465506,268501,12213,1194,515,13003,5.19
POST-0735,21/08/2025,TIKTOK,Reel,Awareness,nigeria,Lagos,6.3574,3.1658,35-44,Neutral,600763,119461,28541,5982,2162,5386,30.71
POST-0876,13-Dec-2025,IG,Live,Influencer Campaign,australia,Sydney,-33.6756,150.9822,25-34,Positive,199443,148572,18984,1596,3015,11202,15.88
POST-0381,05/07/2025,linkedin,REEL,Influencer Campaign,south africa,Cape Town,-33.6887,18.4049,18-24,Positive,154717,90274,4198,287,483,6266,5.5
POST-0068,14/07/2025, Facebook,carousel,Launch,Canada,Toronto,43.8566,-79.6386,18-24,Neutral,203415,62621,9497,1498,1100,4171,19.31
POST-0498,18/01/2025,Facebook,Image,customer education,australia,Sydney,-33.7372,151.0849,25-34,Neutral,276799,171022,14533,1694,1792,4496,10.54
POST-0345,07/01/2025,instagram,reel,Seasonal Promo,AUS,Sydney,-33.9612,151.1637,25-34,Neutral,613469,148008,10331,1538,515,7775,8.37
POST-0999,11/05/2025,x ,LIVE STREAM,Education,India,Mumbai,18.9257,72.6274,55+,Neutral,316999,62886,8643,1072,617,4852,16.43
POST-0316,16-Aug-2025,instagram,Image,Seasonal Promotion,SA,Cape Town,-33.8051,18.2443,18-24,Negative,390306,326829,3580,221,274,21740,1.25
POST-0683,01-Jun-2025,youtube,Carousel ,Brand Awareness , united kingdom,London,51.2396,-0.1117,25-34,Neutral,711625,187598,28665,5901,637,,18.77
POST-0844,12-Feb-2025,instagram,,Community Engagement, united kingdom,London,51.3589,-0.3251,45-54,Positive,785122,322523,35243,3735,2044,14428,12.72
POST-0338,04/18/2025,twitter,Carousel,Community Engagement,south africa,Cape Town,,18.294,25-34,Positive,274733,112292,13647,2966,1874,6606,
POST-0266,04-Mar-2025,x ,Carousel,Brand Awareness,nigeria,Lagos,6.4676,3.4996,55+,Neutral,284884,156230,16641,3386,856,12350,13.37
POST-0637,05-Jul-2025, Insta,Image,influencer campaign,nigeria,Lagos,6.4544,3.1764,45-54,Negative,628777,,25812,5654,3236,17541,11.71
POST-0010,12/18/2025,FB,Reel,community engagement,Canada,Toronto,43.6806,-79.1824,25-34,Positive,272333,42778,18111,1543,2664,2248,52.17
POST-0006,2025-02-06,Instagram ,Reel,Influencer Campaign, united kingdom,London,51.7255,-0.3951,18-24,Neutral,318874,54758,10957,2224,1537,1251,26.88
POST-0135,2025-10-02,Twitter,short,Promo,South Africa,Cape Town,-34.1032,18.2739,18-24,Positive,282166,104304,11235,1256,1402,4859,13.32
POST-0369,01-Dec-2025,TikTok ,live stream,Education,australia,Sydney,-33.7086,150.921,35-44,Neutral,725770,247952,68007,8497,9512,3935,34.69
POST-0430,04/26/2025,LinkedIn,Reel,Product Launch ,DE,Berlin,52.3144,13.4644,45-54,Negative,165262,58495,9088,1594,236,2023,18.66
POST-0057,15/12/2025,X,reel,Product Launch ,USA,New York,40.6886,-73.9861,35-44,Negative,478918,110412,9829,426,628,6270,9.86
POST-0858,2025-11-18,LINKEDIN,VID,Seasonal Promotion,germany,Berlin,52.3126,13.2209,18-24,Neutral,,98589,11175,1215,1777,4458,999
POST-0425,01/06/2025, Facebook,Video ,Education,FR,Paris,48.8508,2.0686,18-24,Neutral,303132,176941,11791,1785,1753,8758,8.66
POST-0775,2025-04-01,TikTok,CAROUSEL,Customer Education,,London,51.6757,0.0456,45-54,Negative,871611,457695,58178,7780,5728,3462,15.66
POST-0160,17/11/2025, Insta,CAROUSEL,community engagement,INDIA,Mumbai,18.9429,72.9549,25-34,Positive,,292853,7747,493,374,7023,2.94
POST-0526,14/10/2025, Insta,REEL,Seasonal Promo,Australia,Sydney,-34.1367,151.2266,45-54,Neutral,652222,498434,19906,1079,2008,15888,4.61
POST-0120,12/29/2025, Facebook,SHORT,influencer campaign,Nigeria,Lagos,6.2932,3.2868,55+,Positive,240000,166552,15985,3392,1484,2823,12.53
POST-0937,2025-08-02,Facebook,Live Stream,Seasonal Promotion,NIGERIA,Lagos,6.8064,3.19,45-54,Neutral,530661,438602,16141,1754,1790,35067,4.49
